Timestamp,GroundTruth,AIDetected,InferTime
1781213853.269445,False,False,0.000
1781213853.3246162,False,False,0.000
1781213853.7298427,False,False,0.159
1781213853.7348092,False,False,0.000
1781213853.8732533,False,False,0.000
1781213854.0108836,False,False,0.073
1781213854.0146,False,False,0.000
1781213854.035476,False,False,0.000
1781213854.1695192,False,False,0.077
1781213854.1735897,False,False,0.000
1781213854.1943028,False,False,0.000
1781213854.3241444,False,False,0.095
1781213854.3281193,False,False,0.000
1781213854.3325934,False,False,0.000
1781213854.4194095,False,False,0.070
1781213854.423821,False,False,0.000
1781213854.4314437,False,False,0.000
1781213854.6581557,False,False,0.068
1781213854.663181,False,False,0.000
1781213854.667347,False,False,0.000
1781213854.7801917,False,False,0.070
1781213854.783898,False,False,0.000
1781213854.7872097,False,False,0.000
1781213854.8987815,False,False,0.072
1781213854.902434,False,False,0.000
1781213854.9094455,False,False,0.000
1781213855.0158918,False,False,0.068
1781213855.0195448,False,False,0.000
1781213855.0570462,False,False,0.000
1781213855.176318,False,False,0.069
1781213855.17998,False,False,0.000
1781213855.1930287,False,False,0.000
1781213855.3151834,False,False,0.068
1781213855.3194478,False,False,0.000
1781213855.3273134,False,False,0.000
1781213855.437632,False,False,0.068
1781213855.4417264,False,False,0.000
1781213855.4519594,False,False,0.000
1781213855.5557199,False,False,0.066
1781213855.5602095,False,False,0.000
1781213855.5735369,False,False,0.000
1781213855.6837692,False,False,0.070
1781213855.6880674,False,False,0.000
1781213855.7130592,False,False,0.000
1781213855.8570688,False,False,0.109
1781213855.8635488,False,False,0.000
1781213855.9951026,False,False,0.000
1781213856.1868067,False,False,0.142
1781213856.191576,False,False,0.000
1781213856.1951509,False,False,0.000
1781213856.2854319,False,False,0.087
1781213856.2894952,False,False,0.000
1781213856.2931602,False,False,0.000
1781213856.3723872,False,False,0.076
1781213856.3761487,False,False,0.000
1781213856.3798242,False,False,0.000
1781213856.489583,False,False,0.080
1781213856.4944851,False,False,0.000
1781213856.4981117,False,False,0.000
1781213856.6049566,False,False,0.068
1781213856.6085727,False,False,0.000
1781213856.6119938,False,False,0.000
1781213856.7337892,False,False,0.068
1781213856.737522,False,False,0.000
1781213856.74448,False,False,0.000
1781213856.8576174,False,False,0.066
1781213856.861322,False,False,0.000
1781213856.8647575,False,False,0.000
1781213856.9804044,False,False,0.072
1781213856.986066,False,False,0.000
1781213856.9913745,False,False,0.000
1781213857.1075218,False,False,0.080
1781213857.1119165,False,False,0.000
1781213857.2689295,False,False,0.000
1781213857.4980724,False,False,0.067
1781213857.5251806,False,False,0.000
1781213857.5952253,False,False,0.000
1781213857.706611,False,False,0.073
1781213857.7126734,False,False,0.000
1781213857.7953722,False,False,0.000
1781213857.9228866,False,False,0.074
1781213857.9548073,False,False,0.000
1781213858.0040581,False,False,0.000
1781213858.0837297,False,False,0.072
1781213858.1261046,False,False,0.000
1781213858.1749923,False,False,0.000
1781213858.2963908,False,False,0.067
1781213858.3027604,False,False,0.000
1781213858.5344627,False,False,0.000
1781213858.6299598,False,False,0.067
1781213858.6748922,False,False,0.000
1781213858.7146585,False,False,0.000
1781213858.826044,False,False,0.070
1781213858.8326905,False,False,0.000
1781213859.076269,False,False,0.000
1781213859.2235215,False,False,0.071
1781213859.2303984,True,False,0.000
1781213859.455589,True,False,0.000
1781213859.5707746,True,False,0.068
1781213859.5756109,True,False,0.000
1781213859.6344647,True,False,0.000
1781213859.7438967,True,False,0.069
1781213859.750065,True,False,0.000
1781213859.9451442,True,False,0.000
1781213860.0920558,True,False,0.068
1781213860.0959313,True,False,0.000
1781213860.367462,True,False,0.000
1781213860.4485514,True,False,0.068
1781213860.5181634,True,False,0.000
1781213860.544644,True,False,0.000
1781213860.6882682,True,False,0.073
1781213860.6960788,True,False,0.000
1781213860.7742448,True,False,0.000
1781213860.8885033,True,False,0.074
1781213860.8943348,True,False,0.000
1781213860.9756842,True,False,0.000
1781213861.060401,True,False,0.070
1781213861.0736709,True,False,0.000
1781213861.099015,True,False,0.000
1781213861.3984423,True,False,0.079
1781213861.4044864,True,False,0.000
1781213861.4737222,True,False,0.000
1781213861.5593355,True,False,0.075
1781213861.5957298,True,False,0.000
1781213861.6388872,True,False,0.000
1781213861.713774,True,False,0.068
1781213861.7360399,True,False,0.000
1781213861.773406,True,False,0.000
1781213861.855212,True,False,0.067
1781213861.8833764,True,False,0.000
1781213861.8921065,True,False,0.000
1781213862.1834295,True,False,0.069
1781213862.1918068,True,False,0.000
1781213862.276416,True,False,0.000
1781213862.3842041,True,False,0.068
1781213862.3918154,True,False,0.000
1781213862.47367,True,False,0.000
1781213862.5907776,True,False,0.077
1781213862.5996737,True,False,0.000
1781213862.8237166,True,False,0.000
1781213862.901839,True,False,0.067
1781213862.9341824,True,False,0.000
1781213862.9460533,True,False,0.000
1781213863.2349262,True,False,0.069
1781213863.3090174,True,False,0.000
1781213863.3711812,True,False,0.000
1781213863.4838746,True,False,0.070
1781213863.4902608,True,False,0.000
1781213863.7341871,True,False,0.000
1781213863.81465,True,False,0.070
1781213863.8359811,True,False,0.000
1781213863.8525631,True,False,0.000
1781213864.1443107,True,False,0.070
1781213864.1517482,True,False,0.000
1781213864.37385,True,False,0.000
1781213864.4847884,True,False,0.067
1781213864.4906807,True,False,0.000
1781213864.5772645,True,False,0.000
1781213864.6541078,True,False,0.070
1781213864.6752117,True,False,0.000
1781213864.716061,True,False,0.000
1781213864.7941403,True,False,0.068
1781213864.8135383,True,False,0.000
1781213864.8560734,True,False,0.000
1781213864.9326103,True,False,0.068
1781213864.9564352,True,False,0.000
1781213864.99215,True,False,0.000
1781213865.1177468,True,False,0.069
1781213865.1822886,True,False,0.000
1781213865.3765202,True,False,0.000
1781213865.4578764,True,False,0.071
1781213865.47324,True,False,0.000
1781213865.4833193,True,False,0.000
1781213865.6219356,True,False,0.069
1781213865.6289837,True,False,0.000
1781213865.7116888,True,False,0.000
1781213865.7953415,True,False,0.071
1781213865.852181,True,False,0.000
1781213865.8589404,True,False,0.000
1781213866.0195196,True,False,0.068
1781213866.115719,True,False,0.000
1781213866.1324217,True,False,0.000
1781213866.457608,True,False,0.072
1781213866.4828463,True,False,0.000
1781213866.5944657,True,False,0.000
1781213866.675594,True,False,0.070
1781213866.69131,True,False,0.000
1781213866.7231646,True,False,0.000
1781213866.8596084,True,False,0.068
1781213866.8655336,True,False,0.000
1781213866.9555755,True,False,0.000
1781213867.049928,True,False,0.079
1781213867.0985057,True,False,0.000
1781213867.1109223,True,False,0.000
1781213867.2729025,True,False,0.074
1781213867.2766333,True,False,0.000
1781213867.3312733,True,False,0.000
1781213867.4090016,True,False,0.068
1781213867.451079,True,False,0.000
1781213867.5051055,True,False,0.000
1781213867.5843408,True,False,0.070
1781213867.591507,True,False,0.000
1781213867.8157609,True,False,0.000
1781213867.893422,True,False,0.068
1781213867.9131982,True,False,0.000
1781213867.925992,True,False,0.000
1781213868.062057,True,False,0.071
1781213868.068758,True,False,0.000
1781213868.3114522,True,False,0.000
1781213868.439487,True,False,0.071
1781213868.470658,True,False,0.000
1781213868.4823403,True,False,0.000
1781213868.6260736,True,False,0.071
1781213868.6298,True,False,0.000
1781213868.640094,True,False,0.000
1781213868.7845592,True,False,0.070
1781213868.7906413,True,False,0.000
1781213868.8894186,True,False,0.000
1781213868.9644258,True,False,0.068
1781213869.009676,True,False,0.000
1781213869.0439126,True,False,0.000
1781213869.159606,True,False,0.073
1781213869.1667986,True,False,0.000
1781213869.2079158,True,False,0.000
1781213869.3379443,True,False,0.071
1781213869.3547137,True,False,0.000
1781213869.3991485,True,False,0.000
1781213869.5430465,True,False,0.071
1781213869.551081,True,False,0.000
1781213869.6389253,True,False,0.000
1781213869.7604325,True,False,0.068
1781213869.7682304,True,False,0.000
1781213869.8730485,False,False,0.000
1781213870.0882492,False,False,0.172
1781213870.0922427,False,False,0.000
1781213870.2780664,False,False,0.000
1781213870.4773002,False,False,0.070
1781213870.4838314,False,False,0.000
1781213870.5511682,False,False,0.000
1781213870.6575189,False,False,0.068
1781213870.6691365,False,False,0.000
1781213870.6944342,False,False,0.000
1781213870.8087254,False,False,0.070
1781213870.8203533,False,False,0.000
1781213870.903259,False,False,0.000
1781213871.04154,False,False,0.071
1781213871.0523205,False,False,0.000
1781213871.1022484,False,False,0.000
1781213871.2307785,False,False,0.076
1781213871.2610295,False,False,0.000
1781213871.2997203,False,False,0.000
1781213871.412156,False,False,0.071
1781213871.424197,False,False,0.000
1781213871.4600234,False,False,0.000
1781213871.7203646,False,False,0.071
1781213871.726158,False,False,0.000
1781213871.7451267,False,False,0.000
1781213871.850569,False,False,0.072
1781213871.8698227,False,False,0.000
1781213871.9188206,False,False,0.000
1781213872.0291202,False,False,0.070
1781213872.0397706,False,False,0.000
1781213872.2882068,False,False,0.000
1781213872.3960145,False,False,0.068
1781213872.5256758,False,False,0.000
1781213872.5469055,False,False,0.000
1781213872.6718142,False,False,0.071
1781213872.728686,False,False,0.000
1781213872.9518197,False,False,0.000
1781213873.0731106,False,False,0.075
1781213873.082758,False,False,0.000
1781213873.1472266,False,False,0.000
1781213873.2569122,False,False,0.070
1781213873.3428204,False,False,0.000
1781213873.3870177,False,False,0.000
1781213873.5274026,False,False,0.066
1781213873.651688,False,False,0.000
1781213873.688316,False,False,0.000
1781213874.0202794,False,False,0.070
1781213874.0614107,False,False,0.000
1781213874.2283347,False,False,0.000
1781213874.340066,False,False,0.071
1781213874.3474154,False,False,0.000
1781213874.4265153,False,False,0.000
1781213874.5119367,False,False,0.072
1781213874.5458314,False,False,0.000
1781213874.7782087,False,False,0.000
1781213874.8694773,False,False,0.072
1781213874.8879685,False,False,0.000
1781213874.9280307,False,False,0.000
1781213875.0379474,False,False,0.070
1781213875.0441856,False,False,0.000
1781213875.2970114,False,False,0.000
1781213875.3731875,False,False,0.068
1781213875.3894742,False,False,0.000
1781213875.445522,False,False,0.000
1781213875.7438605,False,False,0.076
1781213875.7539277,False,False,0.000
1781213875.8007777,False,False,0.000
1781213875.9061093,False,False,0.066
1781213875.9119637,False,False,0.000
1781213875.9594297,False,False,0.000
1781213876.1064138,False,False,0.072
1781213876.133277,False,False,0.000
1781213876.2291923,False,False,0.000
1781213876.4294302,False,False,0.078
1781213876.4532077,False,False,0.000
1781213876.6493819,False,False,0.000
1781213876.794919,False,False,0.071
1781213876.8009772,False,False,0.000
1781213876.8651714,False,False,0.000
1781213876.978204,False,False,0.068
1781213876.9852457,False,False,0.000
1781213877.0430198,False,False,0.000
1781213877.3232892,False,False,0.078
1781213877.3281093,False,False,0.000
1781213877.3886836,False,False,0.000
1781213877.4674468,False,False,0.068
1781213877.4907198,False,False,0.000
1781213877.5052147,False,False,0.000
1781213877.8196661,False,False,0.069
1781213877.8867958,False,False,0.000
1781213877.8969922,False,False,0.000
1781213878.007652,False,False,0.071
1781213878.0473824,False,False,0.000
1781213878.056687,False,False,0.000
1781213878.3404167,False,False,0.071
1781213878.3502367,False,False,0.000
1781213878.449277,False,False,0.000
1781213878.531404,False,False,0.070
1781213878.5509584,False,False,0.000
1781213878.5653076,False,False,0.000
1781213878.6911647,False,False,0.077
1781213878.7268703,False,False,0.000
1781213878.735618,False,False,0.000
1781213878.8412673,False,False,0.068
1781213878.8493805,False,False,0.000
1781213879.0323188,False,False,0.000
1781213879.1735592,False,False,0.072
1781213879.2076375,False,False,0.000
1781213879.2228744,False,False,0.000
1781213879.4260106,False,False,0.069
1781213879.4297612,False,False,0.000
1781213879.4863572,False,False,0.000
1781213879.627138,False,False,0.068
1781213879.634703,False,False,0.000
1781213879.7084439,False,False,0.000
1781213879.788624,False,False,0.069
1781213879.805898,False,False,0.000
1781213879.815237,False,False,0.000
1781213879.9545157,False,False,0.069
1781213879.9607465,False,False,0.000
1781213880.0703242,False,False,0.000
1781213880.1576784,False,False,0.068
