Timestamp,GroundTruth,AIDetected,InferTime,Confidence
1781215483.434233,False,False,0.000,0.00
1781215483.4783387,False,False,0.000,0.00
1781215483.7317278,False,False,0.170,0.00
1781215483.738237,False,False,0.000,0.00
1781215483.7429507,False,False,0.000,0.00
1781215483.886451,False,False,0.092,0.00
1781215483.9012482,False,False,0.000,0.00
1781215484.0530732,False,False,0.000,0.00
1781215484.1911552,False,False,0.077,0.00
1781215484.2165606,False,False,0.000,0.00
1781215484.268265,False,False,0.000,0.00
1781215484.426741,False,False,0.072,0.00
1781215484.4531324,False,False,0.000,0.00
1781215484.511513,False,False,0.000,0.00
1781215484.626371,False,False,0.077,0.00
1781215484.629886,False,False,0.000,0.00
1781215484.6331425,False,False,0.000,0.00
1781215484.7907333,False,False,0.070,0.00
1781215484.795214,False,False,0.000,0.00
1781215484.840982,False,False,0.000,0.00
1781215484.9906046,False,False,0.095,0.00
1781215484.9944248,False,False,0.000,0.00
1781215485.0110712,False,False,0.000,0.00
1781215485.1614382,False,False,0.074,0.00
1781215485.165223,False,False,0.000,0.00
1781215485.1683643,False,False,0.000,0.00
1781215485.2890732,False,False,0.074,0.00
1781215485.2943156,False,False,0.000,0.00
1781215485.3153667,False,False,0.000,0.00
1781215485.436834,False,False,0.066,0.00
1781215485.440178,False,False,0.000,0.00
1781215485.4508514,False,False,0.000,0.00
1781215485.5675662,False,False,0.070,0.00
1781215485.5732508,False,False,0.000,0.00
1781215485.5941842,False,False,0.000,0.00
1781215485.702425,False,False,0.069,0.00
1781215485.7059379,False,False,0.000,0.00
1781215485.712273,False,False,0.000,0.00
1781215485.821182,False,False,0.071,0.00
1781215485.8253691,False,False,0.000,0.00
1781215485.93169,False,False,0.000,0.00
1781215486.0993724,False,False,0.071,0.00
1781215486.1031468,False,False,0.000,0.00
1781215486.1258245,False,False,0.000,0.00
1781215486.4481256,False,False,0.068,0.00
1781215486.451557,False,False,0.000,0.00
1781215486.5055895,False,False,0.000,0.00
1781215486.6294484,False,False,0.076,0.00
1781215486.6335785,False,False,0.000,0.00
1781215486.6511807,False,False,0.000,0.00
1781215486.779312,False,False,0.071,0.00
1781215486.7827787,False,False,0.000,0.00
1781215486.786011,False,False,0.000,0.00
1781215486.9376812,False,False,0.066,0.00
1781215486.9419858,False,False,0.000,0.00
1781215487.044328,False,False,0.000,0.00
1781215487.1588259,False,False,0.066,0.00
1781215487.1627555,False,False,0.000,0.00
1781215487.222316,False,False,0.000,0.00
1781215487.4626613,False,False,0.070,0.00
1781215487.4668715,False,False,0.000,0.00
1781215487.4900029,False,False,0.000,0.00
1781215487.594944,False,False,0.070,0.00
1781215487.598487,False,False,0.000,0.00
1781215487.6242294,False,False,0.000,0.00
1781215487.7662973,False,False,0.070,0.00
1781215487.7738357,False,False,0.000,0.00
1781215487.8291318,False,False,0.000,0.00
1781215488.1367743,False,False,0.071,0.00
1781215488.2196612,False,False,0.000,0.00
1781215488.2497585,False,False,0.000,0.00
1781215488.4316761,False,False,0.071,0.00
1781215488.4376779,False,False,0.000,0.00
1781215488.4842536,False,False,0.000,0.00
1781215488.592716,False,False,0.068,0.00
1781215488.5985134,False,False,0.000,0.00
1781215488.648222,False,False,0.000,0.00
1781215488.9279556,False,False,0.070,0.00
1781215488.9751127,False,False,0.000,0.00
1781215488.9917233,False,False,0.000,0.00
1781215489.183275,False,False,0.069,0.00
1781215489.1893697,False,False,0.000,0.00
1781215489.2538695,False,False,0.000,0.00
1781215489.5679536,False,False,0.075,0.00
1781215489.6734908,False,False,0.000,0.00
1781215489.684626,False,False,0.000,0.00
1781215489.8200552,False,False,0.066,0.00
1781215489.8258593,False,False,0.000,0.00
1781215489.9105449,False,False,0.000,0.00
1781215490.1479537,False,False,0.071,0.00
1781215490.2411184,False,False,0.000,0.00
1781215490.2941692,False,False,0.000,0.00
1781215490.5760007,False,False,0.073,0.00
1781215490.5933414,False,False,0.000,0.00
1781215490.6730652,False,False,0.000,0.00
1781215490.7573662,False,False,0.073,0.00
1781215490.768165,False,False,0.000,0.00
1781215490.8328936,False,False,0.000,0.00
1781215490.9628408,False,False,0.067,0.00
1781215491.00689,False,False,0.000,0.00
1781215491.169001,False,False,0.000,0.00
1781215491.3830507,False,False,0.070,0.00
1781215491.3898787,False,False,0.000,0.00
1781215491.472657,False,False,0.000,0.00
1781215491.5591223,False,False,0.073,0.00
1781215491.567199,False,False,0.000,0.00
1781215491.6495142,False,False,0.000,0.00
1781215491.882496,False,False,0.071,0.00
1781215491.8906307,False,False,0.000,0.00
1781215492.1323862,False,False,0.000,0.00
1781215492.2223191,False,False,0.074,0.00
1781215492.2296276,False,False,0.000,0.00
1781215492.2944896,False,False,0.000,0.00
1781215492.3781478,False,False,0.071,0.00
1781215492.3842967,False,False,0.000,0.00
1781215492.4525166,False,False,0.000,0.00
1781215492.5395343,False,False,0.077,0.00
1781215492.5971496,False,False,0.000,0.00
1781215492.612175,False,False,0.000,0.00
